Review,Liked
Wow... Loved this place.,1
Crust is not good.,0
Not tasty and the texture was just nasty.,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
The selection on the menu was great and so were the prices.,1
Now I am getting angry and I want my damn pho.,0
Honeslty it didn't taste THAT fresh.),0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0
The fries were great too.,1
A great touch.,1
Service was very prompt.,1
Would not go back.,0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
I tried the Cape Cod ravoli chicken with cranberry...mmmm!,1
I was disgusted because I was pretty sure that was human hair.,0
I was shocked because no signs indicate cash only.,0
Highly recommended.,1
Waitress was a little slow in service.,0
This place is not worth your time let alone Vegas.,0
did not like at all.,0
The Burrittos Blah!,0
The food amazing.,1
Service is also cute.,1
I could care less... The interior is just beautiful.,1
So they performed.,1
That's right....the red velvet cake.....ohhh this stuff is so good.,1
#NAME?,0
This hole in the wall has great Mexican street tacos and friendly staff.,1
Took an hour to get our food only 4 tables in restaurant my food was Luke warm Our sever was running around like he was totally overwhelmed.,0
The worst was the salmon sashimi.,0
Also there are combos like a burger fries and beer for 23 which is a decent deal.,1
This was like the final blow!,0
I found this place by accident and I could not be happier.,1
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere.,0
Overall I like this place a lot.,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1
Ample portions and good prices.,1
Poor service the waiter made me feel like I was stupid every time he came to the table.,0
My first visit to Hiro was a delight!,1
Service sucks.,0
The shrimp tender and moist.,1
There is not a deal good enough that would drag me into that establishment again.,0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0
On a positive note our server was very attentive and provided great service.,1
Frozen pucks of disgust with some of the worst people behind the register.,0
The only thing I did like was the prime rib and dessert section.,1
It's too bad the food is so damn generic.,0
The burger is good beef cooked just right.,1
If you want a sandwich just go to any Firehouse!!!!!,1
My side Greek salad with the Greek dressing was so tasty and the pita and hummus was very refreshing.,1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
He came running after us when he realized my husband had left his sunglasses on the table.,1
Their chow mein is so good!,1
They have horrible attitudes towards customers and talk down to each one when customers don't enjoy their food.,0
The portion was huge!,1
Loved it...friendly servers great food wonderful and imaginative menu.,1
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0
Not much seafood and like 5 strings of pasta at the bottom.,0
The salad had just the right amount of sauce to not over power the scallop which was perfectly cooked.,1
The ripped banana was not only ripped but petrified and tasteless.,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0
This place receives stars for their APPETIZERS!!!,1
The cocktails are all handmade and delicious.,1
We'd definitely go back here again.,1
We are so glad we found this place.,1
Great food and service huge portions and they give a military discount.,1
Always a great time at Dos Gringos!,1
Update.....went back for a second time and it was still just as amazing,1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0
A great way to finish a great.,1
The deal included 5 tastings and 2 drinks and Jeff went above and beyond what we expected.,1
#NAME?,1
The service was meh.,0
It took over 30 min to get their milkshake which was nothing more than chocolate milk.,0
I guess I should have known that this place would suck because it is inside of the Excalibur but I didn't use my common sense.,0
The scallop dish is quite appalling for value as well.,0
2 times - Very Bad Customer Service !,0
The sweet potato fries were very good and seasoned well.,1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0
walked in and the place smelled like an old grease trap and only 2 others there eating.,0
The turkey and roast beef were bland.,0
This place has it!,1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
I love the Pho and the spring rolls oh so yummy you have to try.,1
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0
All I have to say is the food was amazing!!!,1
Omelets are to die for!,1
Everything was fresh and delicious!,1
In summary this was a largely disappointing dining experience.,0
It's like a really sexy party in your mouth where you're outrageously flirting with the hottest person at the party.,1
Never been to Hard Rock Casino before WILL NEVER EVER STEP FORWARD IN IT AGAIN!,0
Best breakfast buffet!!!,1
say bye bye to your tip lady!,0
We'll never go again.,0
Will be back again!,1
Food arrived quickly!,1
It was not good.,0
On the up side their cafe serves really good food.,1
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go!,1
The only good thing was our waiter he was very helpful and kept the bloddy mary's coming.,1
Best Buffet in town for the price you cannot beat it.,1
I LOVED their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious.,1
This is one of the better buffets that I have been to.,1
So we went to Tigerlilly and had a fantastic afternoon!,1
The food was delicious our bartender was attentive and personable AND we got a great deal!,1
The ambience is wonderful and there is music playing.,1
Will go back next trip out.,1
Sooooo good!!,1
REAL sushi lovers let's be honest - Yama is not that good.,0
At least 40min passed in between us ordering and the food arriving and it wasn't that busy.,0
This is a really fantastic Thai restaurant which is definitely worth a visit.,1
Nice spicy and tender.,1
